Time,Temperature,Pressure,Sound,Light,Pressure,Humidity
s,°C,kPa,dBA,lx,kPa,%RH
276.48,32.8,99.2,63.3,129,98.95,52.9
277.44,32.8,99.2,66.5,127,98.95,52.8
278.4,32.8,99.2,71.1,119,98.95,52.8
279.36,32.7,99.2,77.6,98,98.95,52.8
280.32,32.5,99.2,86.4,99,98.96,52.7
281.28,32.4,99.2,77.2,103,98.94,52.7
282.24,32.3,99.2,76.9,95,98.96,52.7
283.2,32.2,99.2,75.6,96,98.94,52.7
284.16,32,99.2,76.2,95,98.95,52.7
285.12,31.9,99.2,81.6,100,98.95,52.6
286.08,31.8,99.2,74.5,113,98.94,52.6
287.04,31.7,99.2,75,135,98.94,52.5
288,31.6,99.3,74.2,133,98.96,52.5
288.96,31.5,99.2,72.8,118,98.96,52.4
289.92,31.4,99.3,80.5,106,98.94,52.3
290.88,31.3,99.2,70,64,98.96,52.3
291.84,31.3,99.2,77.5,48,98.96,52.2
292.8,31.2,99.2,76.7,52,98.96,52.2
293.76,31.1,99.2,78.1,42,98.95,52.1
294.72,31.1,99.2,75.6,35,98.97,52.1
295.68,31,99.2,77.1,33,98.95,52
296.64,30.9,99.2,75.1,45,98.93,52
297.6,30.9,99.2,70.6,86,98.93,51.9
298.56,30.9,99.2,84.2,97,98.96,51.8
299.52,30.8,99.2,90.7,96,98.94,51.8
300.48,30.8,99.2,91.4,116,98.94,51.7
301.44,30.7,99.2,92.6,118,98.94,51.6
302.4,30.7,99.2,88.2,121,98.94,51.5
303.36,30.7,99.2,91.4,123,98.94,51.4
304.32,30.6,99.2,87,130,98.96,51.3
305.28,30.6,99.2,91.5,123,98.95,51.2
306.24,30.5,99.2,89.7,119,98.94,51
307.2,30.5,99.2,84.5,115,98.94,50.9
308.16,30.5,99.2,90.7,117,98.93,50.8
309.12,30.4,99.2,87.7,118,98.94,50.7
310.08,30.4,97.8,87.4,119,98.95,50.5
311.04,30.4,97.8,90.1,124,98.97,50.4
312,30.3,97.8,95.7,117,98.94,50.3
312.96,30.3,97.8,83.4,123,98.94,50.2
313.92,30.2,97.8,87.1,135,98.97,50.2
314.88,30.2,97.8,89.3,150,98.94,50.1
315.84,30.2,97.8,88.7,148,98.92,50
316.8,30.2,97.8,82.4,125,98.96,49.9
317.76,30.2,97.8,85.2,124,98.98,49.8
318.72,30.2,97.8,87.6,121,98.91,49.8
319.68,30.1,97.8,89.1,124,98.98,49.7
320.64,30.1,97.8,90,129,98.94,49.6
321.6,30.1,98,90.7,135,98.94,49.6
322.56,30.1,98,93.1,146,98.95,49.5
323.52,30.1,98,92.4,136,98.95,49.5
324.48,30.1,98,83.7,154,98.95,49.4
325.44,30.1,98,83.5,141,98.96,49.4
326.4,30.1,98,81.2,126,98.93,49.3
327.36,30.1,98,40,175,98.93,49.3
328.32,30.1,97.8,40,255,98.92,49.2
329.28,30,97.8,40,266,98.96,49.2
330.24,30,97.8,40,267,98.96,49.2
331.2,30,97.8,40,263,98.95,49.1
332.16,30,97.8,40,263,98.93,49.1
333.12,30,97.8,40,263,98.97,49.1
334.08,30,97.8,77.8,262,98.93,49.1
335.04,30,97.8,74.2,262,98.95,49
336,30,97.8,60.3,261,98.93,49
336.96,30,97.8,40,258,98.95,49
337.92,30,97.8,68.3,256,98.95,49
338.88,30,97.8,56.6,255,98.95,49
339.84,30,97.8,49.3,258,98.92,48.9
340.8,30,97.8,67.1,255,98.94,48.9
341.76,30,97.8,62.1,250,98.96,48.9
342.72,30,97.8,40,247,98.97,48.9
